ID;Service_number;Reservation;Tariff;Service_Mode;Service_Name;Service_Provider;not_used;Reservation_system;First_day;Last_day;Operation_days;Second_service_number
177;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
178;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
179;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
180;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
181;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
182;705;;;32;;3733;;92;2026-04-25;2026-04-26;11;
183;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
184;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
185;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
186;705;;;32;;3733;;92;2026-05-27;2026-05-28;11;
187;705;;;32;;3733;;92;2026-05-15;2026-05-15;1;
188;705;;;37;;3733;;92;2017-09-22;2017-09-22;1;
189;706;;;37;;3733;;92;2026-04-09;2026-08-06;110011111001111100111100011111001110000011110001111001111100111110011111001111100111110011111001111100111110011111001111;
190;706;;;37;;3733;;92;2026-04-11;2026-07-18;100000010000000000000100000010000000000000000000010000001000000100000010000001000000100000010000001;
191;706;;;37;;3733;;92;2026-04-12;2026-08-02;10000001000000100001010000001000000000000011000001000000100000010000001000000100000010000001000000100000010000001;
192;706;;;37;;3733;;92;2026-04-25;2026-04-25;1;
193;706;;;37;;3733;;92;2026-05-15;2026-05-15;1;
194;706;;;37;;3733;;92;2026-05-16;2026-05-16;1;
195;706;;;37;;3733;;92;2026-05-18;2026-05-18;1;
196;706;;;37;;3733;;92;2026-05-23;2026-05-23;1;
197;706;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
198;706;;;37;;3733;;92;2017-09-22;2017-09-22;1;
199;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
200;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
201;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
202;706;;;32;;3733;;92;2026-05-23;2026-05-23;1;
203;706;;;32;;3733;;92;2026-05-23;2026-05-23;1;
204;706;;;32;;3733;;92;2026-05-23;2026-05-23;1;
205;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
206;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
207;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
208;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
209;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
210;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
211;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
212;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
213;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
214;706;;;32;;3733;;92;2026-04-25;2026-04-25;1;
215;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
216;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
217;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
218;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
219;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
220;706;;;32;;3733;;92;2026-05-14;2026-05-16;111;
221;706;;;37;;3733;;92;2017-09-22;2017-09-22;1;
222;706;;;37;;3733;;92;2017-09-22;2017-09-22;1;
223;707;;;37;;3733;;92;2026-04-09;2026-08-06;110011111001111100111110011111001110000111110011111001111100111110011111001111100111110011111001111100111110011111001111;
224;707;;;37;;3733;;92;2026-04-11;2026-07-18;100000010000000000000100000010000000000000000000010000001000000100000010000001000000100000010000001;
225;707;;;37;;3733;;92;2026-04-12;2026-08-02;10000001000000000000010000001000000000000010000000000000100000010000001000000100000010000001000000100000010000001;
226;707;;;37;;3733;;92;2026-04-25;2026-04-26;11;
227;707;;;37;;3733;;92;2026-05-14;2026-05-16;111;
228;707;;;37;;3733;;92;2026-05-17;2026-05-17;1;
229;707;;;37;;3733;;92;2026-05-23;2026-05-23;1;
230;707;;;37;;3733;;92;2026-05-31;2026-05-31;1;
231;707;;;37;;3733;;92;2026-07-25;2026-08-01;10000001;
232;707;;;37;;3733;;92;2017-09-22;2017-09-22;1;
233;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
234;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
235;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
236;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
237;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
238;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
239;707;;;32;;3733;;92;2026-05-14;2026-05-16;111;
240;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
241;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
242;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
243;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
244;707;;;32;;3733;;92;2026-04-25;2026-04-26;11;
